,"""Bestaetigte_Faelle"""
Arnsberg,3341
Bestwig,739
Brilon,966
Eslohe,355
Hallenberg,149
Marsberg,791
Medebach,263
Meschede,1570
Olsberg,518
Schmallenberg,1174
Sundern,1327
Winterberg,387
