,"""Bestaetigte_Faelle"""
Arnsberg,2821
Bestwig,667
Brilon,812
Eslohe,319
Hallenberg,137
Marsberg,641
Medebach,245
Meschede,1401
Olsberg,451
Schmallenberg,1103
Sundern,1093
Winterberg,334
