,"""Bestaetigte_Faelle"""
Arnsberg,4398
Bestwig,865
Brilon,1463
Eslohe,430
Hallenberg,213
Marsberg,1259
Medebach,351
Meschede,1882
Olsberg,751
Schmallenberg,1479
Sundern,1624
Winterberg,569
