,"""Bestaetigte_Faelle"""
Arnsberg,3568
Bestwig,758
Brilon,1048
Eslohe,383
Hallenberg,162
Marsberg,945
Medebach,293
Meschede,1646
Olsberg,554
Schmallenberg,1226
Sundern,1403
Winterberg,421
