,"""Bestaetigte_Faelle"""
Arnsberg,2785
Bestwig,665
Brilon,802
Eslohe,303
Hallenberg,136
Marsberg,636
Medebach,245
Meschede,1357
Olsberg,443
Schmallenberg,1095
Sundern,1072
Winterberg,327
