,"""Bestaetigte_Faelle"""
Arnsberg,3412
Bestwig,743
Brilon,985
Eslohe,360
Hallenberg,154
Marsberg,857
Medebach,267
Meschede,1595
Olsberg,529
Schmallenberg,1195
Sundern,1343
Winterberg,393
