,"""Bestaetigte_Faelle"""
Arnsberg,4021
Bestwig,832
Brilon,1306
Eslohe,406
Hallenberg,205
Marsberg,1173
Medebach,319
Meschede,1776
Olsberg,669
Schmallenberg,1372
Sundern,1558
Winterberg,506
