,"""Bestaetigte_Faelle"""
Arnsberg,2843
Bestwig,669
Brilon,816
Eslohe,324
Hallenberg,137
Marsberg,641
Medebach,245
Meschede,1411
Olsberg,452
Schmallenberg,1105
Sundern,1108
Winterberg,334
