,"""Bestaetigte_Faelle"""
Arnsberg,3429
Bestwig,743
Brilon,992
Eslohe,363
Hallenberg,155
Marsberg,872
Medebach,277
Meschede,1595
Olsberg,533
Schmallenberg,1196
Sundern,1348
Winterberg,398
