,"""Bestaetigte_Faelle"""
Arnsberg,3234
Bestwig,732
Brilon,925
Eslohe,339
Hallenberg,141
Marsberg,749
Medebach,259
Meschede,1540
Olsberg,512
Schmallenberg,1153
Sundern,1296
Winterberg,379
