,"""Bestaetigte_Faelle"""
Arnsberg,3694
Bestwig,779
Brilon,1122
Eslohe,391
Hallenberg,188
Marsberg,1032
Medebach,304
Meschede,1683
Olsberg,579
Schmallenberg,1243
Sundern,1459
Winterberg,458
