,"""Bestaetigte_Faelle"""
Arnsberg,3119
Bestwig,721
Brilon,888
Eslohe,338
Hallenberg,140
Marsberg,718
Medebach,257
Meschede,1510
Olsberg,502
Schmallenberg,1145
Sundern,1239
Winterberg,357
