,"""Bestaetigte_Faelle"""
Arnsberg,4164
Bestwig,849
Brilon,1361
Eslohe,418
Hallenberg,210
Marsberg,1208
Medebach,337
Meschede,1826
Olsberg,698
Schmallenberg,1416
Sundern,1587
Winterberg,527
