,"""Bestaetigte_Faelle"""
Arnsberg,3611
Bestwig,769
Brilon,1074
Eslohe,388
Hallenberg,168
Marsberg,974
Medebach,298
Meschede,1654
Olsberg,566
Schmallenberg,1231
Sundern,1425
Winterberg,434
