,"""Bestaetigte_Faelle"""
Arnsberg,2743
Bestwig,664
Brilon,801
Eslohe,303
Hallenberg,136
Marsberg,629
Medebach,244
Meschede,1323
Olsberg,442
Schmallenberg,1089
Sundern,1059
Winterberg,326
