,"""Bestaetigte_Faelle"""
Arnsberg,3961
Bestwig,815
Brilon,1261
Eslohe,402
Hallenberg,204
Marsberg,1148
Medebach,316
Meschede,1760
Olsberg,646
Schmallenberg,1348
Sundern,1534
Winterberg,501
