,"""Bestaetigte_Faelle"""
Arnsberg,3236
Bestwig,732
Brilon,926
Eslohe,340
Hallenberg,142
Marsberg,750
Medebach,259
Meschede,1546
Olsberg,513
Schmallenberg,1154
Sundern,1303
Winterberg,382
