,"""Bestaetigte_Faelle"""
Arnsberg,3173
Bestwig,730
Brilon,904
Eslohe,339
Hallenberg,141
Marsberg,727
Medebach,258
Meschede,1518
Olsberg,510
Schmallenberg,1151
Sundern,1266
Winterberg,361
