,"""Bestaetigte_Faelle"""
Arnsberg,2769
Bestwig,665
Brilon,801
Eslohe,303
Hallenberg,136
Marsberg,633
Medebach,245
Meschede,1349
Olsberg,443
Schmallenberg,1093
Sundern,1067
Winterberg,326
