,"""Bestaetigte_Faelle"""
Arnsberg,3474
Bestwig,746
Brilon,1014
Eslohe,370
Hallenberg,155
Marsberg,889
Medebach,281
Meschede,1605
Olsberg,534
Schmallenberg,1207
Sundern,1360
Winterberg,403
