,"""Bestaetigte_Faelle"""
Arnsberg,3250
Bestwig,734
Brilon,933
Eslohe,342
Hallenberg,142
Marsberg,753
Medebach,261
Meschede,1549
Olsberg,513
Schmallenberg,1154
Sundern,1307
Winterberg,383
