,"""Bestaetigte_Faelle"""
Arnsberg,9157
Bestwig,1709
Brilon,3632
Eslohe,1090
Hallenberg,499
Marsberg,2581
Medebach,1068
Meschede,4164
Olsberg,1873
Schmallenberg,3079
Sundern,3698
Winterberg,1997
