,"""Bestaetigte_Faelle"""
Arnsberg,3856
Bestwig,801
Brilon,1203
Eslohe,396
Hallenberg,197
Marsberg,1121
Medebach,312
Meschede,1730
Olsberg,614
Schmallenberg,1309
Sundern,1500
Winterberg,484
