,"""Bestaetigte_Faelle"""
Arnsberg,3913
Bestwig,810
Brilon,1234
Eslohe,398
Hallenberg,203
Marsberg,1137
Medebach,315
Meschede,1744
Olsberg,636
Schmallenberg,1329
Sundern,1521
Winterberg,491
