,"""Bestaetigte_Faelle"""
Arnsberg,3271
Bestwig,734
Brilon,941
Eslohe,343
Hallenberg,142
Marsberg,756
Medebach,261
Meschede,1561
Olsberg,513
Schmallenberg,1157
Sundern,1312
Winterberg,383
