,11_30_2021
Westerheim,5
Schelklingen,8
Laichingen,23
Heroldstatt,4
Allmendingen,3
Blaubeuren,12
Merklingen,1
Berghülen,2
Nellingen,2
Altheim,0
Öpfingen,6
Oberdischingen,2
Erbach,19
Blaustein,21
Dornstadt,7
Amstetten,5
Lonsee,7
Westerstetten,0
Beimerstetten,3
Weidenstetten,1
Staig,5
Altheim (Alb),6
Holzkirch,0
Breitingen,0
Illerkirchberg,5
Bernstadt,1
Langenau,14
Neenstetten,0
Börslingen,0
Ballendorf,1
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,0
Asselfingen,2
Balzheim,2
Grundsheim,1
Oberstadion,1
Emerkingen,1
Obermarchtal,2
Unterwachingen,0
Unterstadion,1
Dietenheim,10
Hausen am Bussen,0
Ehingen (Donau),34
Munderkingen,4
Rottenacker,2
Untermarchtal,0
Lauterach,1
Illerrieden,5
Schnürpflingen,5
Griesingen,1
Hüttisheim,4
Emeringen,0
Rechtenstein,0
Ulm,122
