,11_17_2021
Westerheim,8
Schelklingen,12
Laichingen,17
Heroldstatt,1
Allmendingen,7
Blaubeuren,16
Merklingen,2
Berghülen,0
Nellingen,2
Altheim,2
Öpfingen,3
Oberdischingen,6
Erbach,22
Blaustein,13
Dornstadt,14
Amstetten,4
Lonsee,1
Westerstetten,2
Beimerstetten,3
Weidenstetten,0
Staig,4
Altheim (Alb),1
Holzkirch,0
Breitingen,0
Illerkirchberg,5
Bernstadt,3
Langenau,18
Neenstetten,0
Börslingen,0
Ballendorf,1
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,0
Asselfingen,3
Balzheim,3
Grundsheim,5
Oberstadion,2
Emerkingen,1
Obermarchtal,4
Unterwachingen,2
Unterstadion,1
Dietenheim,8
Hausen am Bussen,4
Ehingen (Donau),55
Munderkingen,17
Rottenacker,5
Untermarchtal,0
Lauterach,0
Illerrieden,4
Schnürpflingen,1
Griesingen,2
Hüttisheim,1
Emeringen,0
Rechtenstein,0
Ulm,152
