,11_09_2021
Westerheim,1
Schelklingen,12
Laichingen,13
Heroldstatt,0
Allmendingen,2
Blaubeuren,14
Merklingen,2
Berghülen,6
Nellingen,0
Altheim,0
Öpfingen,4
Oberdischingen,1
Erbach,11
Blaustein,4
Dornstadt,4
Amstetten,0
Lonsee,4
Westerstetten,1
Beimerstetten,3
Weidenstetten,2
Staig,4
Altheim (Alb),1
Holzkirch,0
Breitingen,0
Illerkirchberg,3
Bernstadt,2
Langenau,7
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,1
Asselfingen,0
Balzheim,0
Grundsheim,0
Oberstadion,0
Emerkingen,1
Obermarchtal,1
Unterwachingen,0
Unterstadion,0
Dietenheim,18
Hausen am Bussen,3
Ehingen (Donau),11
Munderkingen,0
Rottenacker,1
Untermarchtal,0
Lauterach,0
Illerrieden,0
Schnürpflingen,1
Griesingen,0
Hüttisheim,2
Emeringen,0
Rechtenstein,0
Ulm,96
