,10_28_2021
Westerheim,0
Schelklingen,2
Laichingen,6
Heroldstatt,1
Allmendingen,0
Blaubeuren,3
Merklingen,2
Berghülen,3
Nellingen,0
Altheim,0
Öpfingen,2
Oberdischingen,0
Erbach,2
Blaustein,12
Dornstadt,3
Amstetten,3
Lonsee,0
Westerstetten,1
Beimerstetten,0
Weidenstetten,3
Staig,0
Altheim (Alb),5
Holzkirch,0
Breitingen,0
Illerkirchberg,0
Bernstadt,1
Langenau,9
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,0
Asselfingen,0
Balzheim,1
Grundsheim,0
Oberstadion,0
Emerkingen,0
Obermarchtal,1
Unterwachingen,0
Unterstadion,0
Dietenheim,4
Hausen am Bussen,0
Ehingen (Donau),16
Munderkingen,2
Rottenacker,6
Untermarchtal,0
Lauterach,0
Illerrieden,0
Schnürpflingen,2
Griesingen,0
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,62
