,02_06_2022
Westerheim,1
Schelklingen,17
Laichingen,14
Heroldstatt,0
Allmendingen,7
Blaubeuren,13
Merklingen,1
Berghülen,1
Nellingen,1
Altheim,0
Öpfingen,1
Oberdischingen,4
Erbach,38
Blaustein,25
Dornstadt,25
Amstetten,12
Lonsee,19
Westerstetten,5
Beimerstetten,7
Weidenstetten,1
Staig,5
Altheim (Alb),5
Holzkirch,0
Breitingen,0
Illerkirchberg,6
Bernstadt,4
Langenau,41
Neenstetten,3
Börslingen,0
Ballendorf,4
Nerenstetten,0
Setzingen,2
Öllingen,2
Rammingen,3
Asselfingen,4
Balzheim,7
Grundsheim,1
Oberstadion,1
Emerkingen,0
Obermarchtal,2
Unterwachingen,0
Unterstadion,0
Dietenheim,15
Hausen am Bussen,0
Ehingen,27
Munderkingen,4
Rottenacker,4
Untermarchtal,0
Lauterach,0
Illerrieden,0
Schnürpflingen,0
Griesingen,3
Hüttisheim,2
Emeringen,0
Rechtenstein,2
Ulm,146
