,11_04_2021
Westerheim,1
Schelklingen,8
Laichingen,13
Heroldstatt,0
Allmendingen,5
Blaubeuren,7
Merklingen,2
Berghülen,2
Nellingen,0
Altheim,0
Öpfingen,0
Oberdischingen,2
Erbach,15
Blaustein,7
Dornstadt,5
Amstetten,6
Lonsee,5
Westerstetten,0
Beimerstetten,2
Weidenstetten,2
Staig,2
Altheim (Alb),2
Holzkirch,0
Breitingen,1
Illerkirchberg,4
Bernstadt,2
Langenau,7
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,0
Asselfingen,1
Balzheim,1
Grundsheim,3
Oberstadion,0
Emerkingen,3
Obermarchtal,3
Unterwachingen,0
Unterstadion,0
Dietenheim,8
Hausen am Bussen,1
Ehingen (Donau),29
Munderkingen,2
Rottenacker,0
Untermarchtal,0
Lauterach,1
Illerrieden,0
Schnürpflingen,2
Griesingen,0
Hüttisheim,2
Emeringen,0
Rechtenstein,0
Ulm,72
