,12_09_2021
Westerheim,8
Schelklingen,2
Laichingen,16
Heroldstatt,1
Allmendingen,2
Blaubeuren,2
Merklingen,1
Berghülen,0
Nellingen,0
Altheim,1
Öpfingen,0
Oberdischingen,2
Erbach,14
Blaustein,17
Dornstadt,8
Amstetten,4
Lonsee,4
Westerstetten,0
Beimerstetten,1
Weidenstetten,1
Staig,5
Altheim (Alb),2
Holzkirch,0
Breitingen,0
Illerkirchberg,0
Bernstadt,1
Langenau,8
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,1
Asselfingen,0
Balzheim,1
Grundsheim,0
Oberstadion,1
Emerkingen,0
Obermarchtal,1
Unterwachingen,1
Unterstadion,0
Dietenheim,6
Hausen am Bussen,0
Ehingen,18
Munderkingen,1
Rottenacker,2
Untermarchtal,0
Lauterach,0
Illerrieden,3
Schnürpflingen,1
Griesingen,0
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,95
