,12_18_2021
Westerheim,2
Schelklingen,4
Laichingen,6
Heroldstatt,1
Allmendingen,1
Blaubeuren,5
Merklingen,1
Berghülen,0
Nellingen,1
Altheim,0
Öpfingen,0
Oberdischingen,0
Erbach,0
Blaustein,1
Dornstadt,0
Amstetten,2
Lonsee,6
Westerstetten,0
Beimerstetten,0
Weidenstetten,0
Staig,1
Altheim (Alb),0
Holzkirch,0
Breitingen,0
Illerkirchberg,3
Bernstadt,1
Langenau,8
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,1
Rammingen,0
Asselfingen,0
Balzheim,0
Grundsheim,0
Oberstadion,1
Emerkingen,0
Obermarchtal,1
Unterwachingen,0
Unterstadion,0
Dietenheim,0
Hausen am Bussen,0
Ehingen,7
Munderkingen,2
Rottenacker,4
Untermarchtal,0
Lauterach,0
Illerrieden,2
Schnürpflingen,2
Griesingen,0
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,50
