,02_16_2022
Westerheim,10
Schelklingen,15
Laichingen,21
Heroldstatt,1
Allmendingen,27
Blaubeuren,46
Merklingen,13
Berghülen,6
Nellingen,6
Altheim,4
Öpfingen,8
Oberdischingen,7
Erbach,48
Blaustein,41
Dornstadt,29
Amstetten,11
Lonsee,14
Westerstetten,1
Beimerstetten,5
Weidenstetten,4
Staig,6
Altheim (Alb),16
Holzkirch,0
Breitingen,3
Illerkirchberg,20
Bernstadt,3
Langenau,43
Neenstetten,3
Börslingen,0
Ballendorf,2
Nerenstetten,0
Setzingen,2
Öllingen,2
Rammingen,6
Asselfingen,4
Balzheim,5
Grundsheim,2
Oberstadion,5
Emerkingen,5
Obermarchtal,5
Unterwachingen,0
Unterstadion,4
Dietenheim,24
Hausen am Bussen,1
Ehingen,125
Munderkingen,24
Rottenacker,16
Untermarchtal,13
Lauterach,2
Illerrieden,8
Schnürpflingen,6
Griesingen,2
Hüttisheim,3
Emeringen,1
Rechtenstein,0
Ulm,519
