,12_08_2021
Westerheim,6
Schelklingen,11
Laichingen,21
Heroldstatt,2
Allmendingen,7
Blaubeuren,11
Merklingen,0
Berghülen,0
Nellingen,1
Altheim,0
Öpfingen,2
Oberdischingen,6
Erbach,12
Blaustein,10
Dornstadt,8
Amstetten,2
Lonsee,1
Westerstetten,3
Beimerstetten,0
Weidenstetten,0
Staig,3
Altheim (Alb),1
Holzkirch,1
Breitingen,0
Illerkirchberg,2
Bernstadt,0
Langenau,9
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,0
Asselfingen,2
Balzheim,2
Grundsheim,0
Oberstadion,0
Emerkingen,0
Obermarchtal,2
Unterwachingen,0
Unterstadion,0
Dietenheim,4
Hausen am Bussen,0
Ehingen,36
Munderkingen,1
Rottenacker,5
Untermarchtal,0
Lauterach,1
Illerrieden,5
Schnürpflingen,2
Griesingen,0
Hüttisheim,1
Emeringen,0
Rechtenstein,0
Ulm,121
