,12_04_2021
Westerheim,2
Schelklingen,3
Laichingen,11
Heroldstatt,2
Allmendingen,3
Blaubeuren,6
Merklingen,1
Berghülen,0
Nellingen,1
Altheim,0
Öpfingen,0
Oberdischingen,2
Erbach,10
Blaustein,9
Dornstadt,6
Amstetten,4
Lonsee,5
Westerstetten,3
Beimerstetten,0
Weidenstetten,3
Staig,0
Altheim (Alb),2
Holzkirch,1
Breitingen,1
Illerkirchberg,3
Bernstadt,0
Langenau,6
Neenstetten,1
Börslingen,0
Ballendorf,1
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,0
Asselfingen,2
Balzheim,0
Grundsheim,0
Oberstadion,1
Emerkingen,0
Obermarchtal,7
Unterwachingen,0
Unterstadion,1
Dietenheim,2
Hausen am Bussen,0
Ehingen,19
Munderkingen,1
Rottenacker,2
Untermarchtal,1
Lauterach,0
Illerrieden,2
Schnürpflingen,1
Griesingen,1
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,56
