,12_11_2021
Westerheim,1
Schelklingen,10
Laichingen,5
Heroldstatt,0
Allmendingen,1
Blaubeuren,4
Merklingen,0
Berghülen,0
Nellingen,0
Altheim,0
Öpfingen,0
Oberdischingen,1
Erbach,6
Blaustein,0
Dornstadt,3
Amstetten,1
Lonsee,1
Westerstetten,0
Beimerstetten,1
Weidenstetten,0
Staig,3
Altheim (Alb),2
Holzkirch,0
Breitingen,0
Illerkirchberg,2
Bernstadt,0
Langenau,4
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,1
Asselfingen,0
Balzheim,0
Grundsheim,0
Oberstadion,0
Emerkingen,0
Obermarchtal,1
Unterwachingen,0
Unterstadion,0
Dietenheim,3
Hausen am Bussen,0
Ehingen,19
Munderkingen,1
Rottenacker,3
Untermarchtal,0
Lauterach,0
Illerrieden,0
Schnürpflingen,0
Griesingen,0
Hüttisheim,0
Emeringen,0
Rechtenstein,1
Ulm,49
