,01_30_2022
Westerheim,0
Schelklingen,6
Laichingen,15
Heroldstatt,2
Allmendingen,2
Blaubeuren,10
Merklingen,3
Berghülen,0
Nellingen,1
Altheim,0
Öpfingen,3
Oberdischingen,3
Erbach,21
Blaustein,18
Dornstadt,19
Amstetten,1
Lonsee,6
Westerstetten,0
Beimerstetten,0
Weidenstetten,0
Staig,1
Altheim (Alb),0
Holzkirch,0
Breitingen,0
Illerkirchberg,6
Bernstadt,4
Langenau,17
Neenstetten,0
Börslingen,0
Ballendorf,1
Nerenstetten,0
Setzingen,0
Öllingen,1
Rammingen,0
Asselfingen,1
Balzheim,0
Grundsheim,0
Oberstadion,0
Emerkingen,0
Obermarchtal,4
Unterwachingen,0
Unterstadion,0
Dietenheim,11
Hausen am Bussen,0
Ehingen,27
Munderkingen,2
Rottenacker,0
Untermarchtal,0
Lauterach,1
Illerrieden,5
Schnürpflingen,1
Griesingen,1
Hüttisheim,1
Emeringen,0
Rechtenstein,0
Ulm,94
