,11_22_2021
Westerheim,2
Schelklingen,3
Laichingen,2
Heroldstatt,0
Allmendingen,2
Blaubeuren,6
Merklingen,0
Berghülen,0
Nellingen,0
Altheim,2
Öpfingen,5
Oberdischingen,1
Erbach,1
Blaustein,7
Dornstadt,0
Amstetten,0
Lonsee,2
Westerstetten,0
Beimerstetten,1
Weidenstetten,1
Staig,3
Altheim (Alb),1
Holzkirch,0
Breitingen,0
Illerkirchberg,2
Bernstadt,0
Langenau,5
Neenstetten,0
Börslingen,0
Ballendorf,1
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,0
Asselfingen,1
Balzheim,2
Grundsheim,0
Oberstadion,0
Emerkingen,0
Obermarchtal,1
Unterwachingen,0
Unterstadion,0
Dietenheim,0
Hausen am Bussen,0
Ehingen (Donau),21
Munderkingen,2
Rottenacker,0
Untermarchtal,0
Lauterach,0
Illerrieden,0
Schnürpflingen,2
Griesingen,0
Hüttisheim,2
Emeringen,0
Rechtenstein,0
Ulm,54
