,02_12_2022
Westerheim,3
Schelklingen,5
Laichingen,18
Heroldstatt,1
Allmendingen,7
Blaubeuren,16
Merklingen,2
Berghülen,3
Nellingen,10
Altheim,2
Öpfingen,6
Oberdischingen,8
Erbach,35
Blaustein,47
Dornstadt,20
Amstetten,6
Lonsee,22
Westerstetten,5
Beimerstetten,7
Weidenstetten,0
Staig,2
Altheim (Alb),11
Holzkirch,0
Breitingen,1
Illerkirchberg,13
Bernstadt,6
Langenau,43
Neenstetten,2
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,1
Asselfingen,5
Balzheim,12
Grundsheim,0
Oberstadion,5
Emerkingen,4
Obermarchtal,3
Unterwachingen,1
Unterstadion,7
Dietenheim,13
Hausen am Bussen,0
Ehingen,77
Munderkingen,13
Rottenacker,9
Untermarchtal,0
Lauterach,1
Illerrieden,4
Schnürpflingen,2
Griesingen,0
Hüttisheim,5
Emeringen,0
Rechtenstein,1
Ulm,345
