,11_26_2021
Westerheim,3
Schelklingen,9
Laichingen,11
Heroldstatt,4
Allmendingen,7
Blaubeuren,10
Merklingen,2
Berghülen,0
Nellingen,11
Altheim,2
Öpfingen,5
Oberdischingen,6
Erbach,12
Blaustein,15
Dornstadt,6
Amstetten,5
Lonsee,3
Westerstetten,1
Beimerstetten,0
Weidenstetten,0
Staig,0
Altheim (Alb),0
Holzkirch,0
Breitingen,0
Illerkirchberg,10
Bernstadt,2
Langenau,8
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,4
Asselfingen,1
Balzheim,3
Grundsheim,0
Oberstadion,1
Emerkingen,0
Obermarchtal,1
Unterwachingen,0
Unterstadion,1
Dietenheim,8
Hausen am Bussen,0
Ehingen (Donau),26
Munderkingen,1
Rottenacker,5
Untermarchtal,0
Lauterach,1
Illerrieden,4
Schnürpflingen,2
Griesingen,0
Hüttisheim,5
Emeringen,0
Rechtenstein,0
Ulm,92
