,11_27_2021
Westerheim,5
Schelklingen,6
Laichingen,4
Heroldstatt,4
Allmendingen,1
Blaubeuren,7
Merklingen,0
Berghülen,0
Nellingen,0
Altheim,0
Öpfingen,7
Oberdischingen,2
Erbach,11
Blaustein,8
Dornstadt,6
Amstetten,3
Lonsee,0
Westerstetten,1
Beimerstetten,1
Weidenstetten,2
Staig,1
Altheim (Alb),6
Holzkirch,0
Breitingen,0
Illerkirchberg,3
Bernstadt,0
Langenau,10
Neenstetten,1
Börslingen,0
Ballendorf,1
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,2
Asselfingen,0
Balzheim,0
Grundsheim,0
Oberstadion,1
Emerkingen,0
Obermarchtal,0
Unterwachingen,1
Unterstadion,0
Dietenheim,1
Hausen am Bussen,0
Ehingen (Donau),13
Munderkingen,1
Rottenacker,2
Untermarchtal,1
Lauterach,0
Illerrieden,6
Schnürpflingen,2
Griesingen,1
Hüttisheim,1
Emeringen,0
Rechtenstein,1
Ulm,74
