,11_11_2021
Westerheim,0
Schelklingen,2
Laichingen,6
Heroldstatt,2
Allmendingen,3
Blaubeuren,13
Merklingen,0
Berghülen,0
Nellingen,1
Altheim,0
Öpfingen,0
Oberdischingen,3
Erbach,12
Blaustein,11
Dornstadt,11
Amstetten,3
Lonsee,3
Westerstetten,1
Beimerstetten,1
Weidenstetten,0
Staig,2
Altheim (Alb),1
Holzkirch,0
Breitingen,0
Illerkirchberg,9
Bernstadt,1
Langenau,3
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,0
Asselfingen,0
Balzheim,4
Grundsheim,2
Oberstadion,1
Emerkingen,0
Obermarchtal,1
Unterwachingen,0
Unterstadion,1
Dietenheim,7
Hausen am Bussen,2
Ehingen (Donau),28
Munderkingen,3
Rottenacker,0
Untermarchtal,3
Lauterach,0
Illerrieden,6
Schnürpflingen,3
Griesingen,2
Hüttisheim,2
Emeringen,0
Rechtenstein,0
Ulm,89
