,02_09_2022
Westerheim,4
Schelklingen,25
Laichingen,42
Heroldstatt,19
Allmendingen,22
Blaubeuren,39
Merklingen,1
Berghülen,6
Nellingen,4
Altheim,12
Öpfingen,6
Oberdischingen,6
Erbach,55
Blaustein,63
Dornstadt,39
Amstetten,11
Lonsee,31
Westerstetten,13
Beimerstetten,9
Weidenstetten,2
Staig,14
Altheim (Alb),8
Holzkirch,2
Breitingen,0
Illerkirchberg,24
Bernstadt,5
Langenau,40
Neenstetten,1
Börslingen,0
Ballendorf,1
Nerenstetten,1
Setzingen,1
Öllingen,2
Rammingen,7
Asselfingen,9
Balzheim,13
Grundsheim,3
Oberstadion,6
Emerkingen,5
Obermarchtal,11
Unterwachingen,1
Unterstadion,4
Dietenheim,54
Hausen am Bussen,0
Ehingen,129
Munderkingen,22
Rottenacker,14
Untermarchtal,4
Lauterach,5
Illerrieden,7
Schnürpflingen,10
Griesingen,3
Hüttisheim,9
Emeringen,0
Rechtenstein,1
Ulm,576
