,02_04_2022
Westerheim,9
Schelklingen,34
Laichingen,40
Heroldstatt,4
Allmendingen,12
Blaubeuren,34
Merklingen,6
Berghülen,5
Nellingen,6
Altheim,1
Öpfingen,10
Oberdischingen,6
Erbach,72
Blaustein,55
Dornstadt,53
Amstetten,9
Lonsee,15
Westerstetten,2
Beimerstetten,9
Weidenstetten,4
Staig,7
Altheim (Alb),3
Holzkirch,0
Breitingen,1
Illerkirchberg,15
Bernstadt,8
Langenau,64
Neenstetten,6
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,2
Öllingen,3
Rammingen,4
Asselfingen,2
Balzheim,4
Grundsheim,2
Oberstadion,3
Emerkingen,1
Obermarchtal,10
Unterwachingen,0
Unterstadion,3
Dietenheim,24
Hausen am Bussen,0
Ehingen,112
Munderkingen,14
Rottenacker,7
Untermarchtal,1
Lauterach,4
Illerrieden,30
Schnürpflingen,5
Griesingen,2
Hüttisheim,7
Emeringen,0
Rechtenstein,6
Ulm,495
