,02_13_2022
Westerheim,4
Schelklingen,24
Laichingen,16
Heroldstatt,1
Allmendingen,18
Blaubeuren,28
Merklingen,0
Berghülen,5
Nellingen,1
Altheim,7
Öpfingen,3
Oberdischingen,4
Erbach,21
Blaustein,24
Dornstadt,15
Amstetten,3
Lonsee,18
Westerstetten,0
Beimerstetten,3
Weidenstetten,2
Staig,4
Altheim (Alb),3
Holzkirch,1
Breitingen,0
Illerkirchberg,14
Bernstadt,4
Langenau,30
Neenstetten,2
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,2
Öllingen,0
Rammingen,4
Asselfingen,2
Balzheim,4
Grundsheim,3
Oberstadion,5
Emerkingen,5
Obermarchtal,4
Unterwachingen,1
Unterstadion,2
Dietenheim,12
Hausen am Bussen,0
Ehingen,111
Munderkingen,13
Rottenacker,13
Untermarchtal,6
Lauterach,4
Illerrieden,7
Schnürpflingen,8
Griesingen,6
Hüttisheim,1
Emeringen,0
Rechtenstein,1
Ulm,206
