,11_10_2021
Westerheim,1
Schelklingen,7
Laichingen,19
Heroldstatt,3
Allmendingen,6
Blaubeuren,28
Merklingen,1
Berghülen,3
Nellingen,3
Altheim,1
Öpfingen,7
Oberdischingen,4
Erbach,22
Blaustein,19
Dornstadt,7
Amstetten,3
Lonsee,3
Westerstetten,4
Beimerstetten,7
Weidenstetten,0
Staig,3
Altheim (Alb),2
Holzkirch,0
Breitingen,0
Illerkirchberg,8
Bernstadt,3
Langenau,14
Neenstetten,1
Börslingen,1
Ballendorf,0
Nerenstetten,0
Setzingen,1
Öllingen,1
Rammingen,3
Asselfingen,0
Balzheim,8
Grundsheim,0
Oberstadion,2
Emerkingen,0
Obermarchtal,4
Unterwachingen,1
Unterstadion,1
Dietenheim,15
Hausen am Bussen,6
Ehingen (Donau),33
Munderkingen,3
Rottenacker,0
Untermarchtal,3
Lauterach,0
Illerrieden,0
Schnürpflingen,3
Griesingen,2
Hüttisheim,4
Emeringen,0
Rechtenstein,0
Ulm,120
