,02_14_2022
Westerheim,1
Schelklingen,13
Laichingen,16
Heroldstatt,6
Allmendingen,23
Blaubeuren,39
Merklingen,6
Berghülen,2
Nellingen,0
Altheim,6
Öpfingen,7
Oberdischingen,5
Erbach,59
Blaustein,36
Dornstadt,11
Amstetten,4
Lonsee,4
Westerstetten,2
Beimerstetten,2
Weidenstetten,1
Staig,10
Altheim (Alb),3
Holzkirch,0
Breitingen,0
Illerkirchberg,13
Bernstadt,1
Langenau,15
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,1
Asselfingen,0
Balzheim,9
Grundsheim,1
Oberstadion,4
Emerkingen,1
Obermarchtal,4
Unterwachingen,0
Unterstadion,3
Dietenheim,3
Hausen am Bussen,0
Ehingen,87
Munderkingen,12
Rottenacker,4
Untermarchtal,1
Lauterach,0
Illerrieden,3
Schnürpflingen,3
Griesingen,5
Hüttisheim,5
Emeringen,0
Rechtenstein,0
Ulm,432
