,02_08_2022
Westerheim,2
Schelklingen,46
Laichingen,44
Heroldstatt,6
Allmendingen,7
Blaubeuren,24
Merklingen,0
Berghülen,3
Nellingen,9
Altheim,2
Öpfingen,7
Oberdischingen,7
Erbach,44
Blaustein,64
Dornstadt,29
Amstetten,8
Lonsee,23
Westerstetten,5
Beimerstetten,9
Weidenstetten,7
Staig,13
Altheim (Alb),8
Holzkirch,0
Breitingen,2
Illerkirchberg,23
Bernstadt,11
Langenau,72
Neenstetten,1
Börslingen,0
Ballendorf,1
Nerenstetten,2
Setzingen,1
Öllingen,0
Rammingen,2
Asselfingen,3
Balzheim,5
Grundsheim,0
Oberstadion,3
Emerkingen,0
Obermarchtal,7
Unterwachingen,0
Unterstadion,1
Dietenheim,17
Hausen am Bussen,0
Ehingen,67
Munderkingen,4
Rottenacker,8
Untermarchtal,3
Lauterach,1
Illerrieden,13
Schnürpflingen,11
Griesingen,1
Hüttisheim,2
Emeringen,1
Rechtenstein,0
Ulm,611
