,02_07_2022
Westerheim,6
Schelklingen,29
Laichingen,27
Heroldstatt,11
Allmendingen,17
Blaubeuren,43
Merklingen,1
Berghülen,4
Nellingen,0
Altheim,1
Öpfingen,7
Oberdischingen,14
Erbach,61
Blaustein,51
Dornstadt,29
Amstetten,6
Lonsee,5
Westerstetten,3
Beimerstetten,1
Weidenstetten,1
Staig,10
Altheim (Alb),7
Holzkirch,0
Breitingen,0
Illerkirchberg,22
Bernstadt,2
Langenau,22
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,1
Setzingen,1
Öllingen,0
Rammingen,1
Asselfingen,6
Balzheim,7
Grundsheim,1
Oberstadion,6
Emerkingen,1
Obermarchtal,11
Unterwachingen,0
Unterstadion,9
Dietenheim,13
Hausen am Bussen,3
Ehingen,112
Munderkingen,11
Rottenacker,7
Untermarchtal,4
Lauterach,0
Illerrieden,16
Schnürpflingen,3
Griesingen,6
Hüttisheim,7
Emeringen,1
Rechtenstein,0
Ulm,574
