,02_17_2022
Westerheim,8
Schelklingen,32
Laichingen,28
Heroldstatt,7
Allmendingen,29
Blaubeuren,50
Merklingen,5
Berghülen,7
Nellingen,2
Altheim,5
Öpfingen,6
Oberdischingen,14
Erbach,65
Blaustein,53
Dornstadt,31
Amstetten,12
Lonsee,31
Westerstetten,8
Beimerstetten,5
Weidenstetten,7
Staig,12
Altheim (Alb),13
Holzkirch,0
Breitingen,1
Illerkirchberg,28
Bernstadt,7
Langenau,53
Neenstetten,4
Börslingen,1
Ballendorf,0
Nerenstetten,0
Setzingen,4
Öllingen,4
Rammingen,8
Asselfingen,1
Balzheim,20
Grundsheim,2
Oberstadion,5
Emerkingen,5
Obermarchtal,10
Unterwachingen,1
Unterstadion,3
Dietenheim,23
Hausen am Bussen,0
Ehingen,143
Munderkingen,13
Rottenacker,12
Untermarchtal,1
Lauterach,1
Illerrieden,11
Schnürpflingen,7
Griesingen,4
Hüttisheim,10
Emeringen,0
Rechtenstein,3
Ulm,595
