,01_28_2022
Westerheim,2
Schelklingen,12
Laichingen,17
Heroldstatt,3
Allmendingen,13
Blaubeuren,38
Merklingen,1
Berghülen,4
Nellingen,1
Altheim,5
Öpfingen,11
Oberdischingen,21
Erbach,102
Blaustein,40
Dornstadt,36
Amstetten,10
Lonsee,11
Westerstetten,4
Beimerstetten,6
Weidenstetten,5
Staig,8
Altheim (Alb),3
Holzkirch,1
Breitingen,1
Illerkirchberg,15
Bernstadt,5
Langenau,55
Neenstetten,1
Börslingen,0
Ballendorf,2
Nerenstetten,0
Setzingen,1
Öllingen,2
Rammingen,1
Asselfingen,1
Balzheim,17
Grundsheim,0
Oberstadion,2
Emerkingen,2
Obermarchtal,8
Unterwachingen,0
Unterstadion,0
Dietenheim,19
Hausen am Bussen,0
Ehingen,142
Munderkingen,23
Rottenacker,1
Untermarchtal,5
Lauterach,1
Illerrieden,10
Schnürpflingen,3
Griesingen,4
Hüttisheim,6
Emeringen,0
Rechtenstein,0
Ulm,456
