,02_10_2022
Westerheim,5
Schelklingen,32
Laichingen,13
Heroldstatt,10
Allmendingen,17
Blaubeuren,33
Merklingen,2
Berghülen,2
Nellingen,1
Altheim,3
Öpfingen,6
Oberdischingen,5
Erbach,49
Blaustein,31
Dornstadt,36
Amstetten,9
Lonsee,8
Westerstetten,2
Beimerstetten,6
Weidenstetten,0
Staig,3
Altheim (Alb),0
Holzkirch,1
Breitingen,0
Illerkirchberg,15
Bernstadt,4
Langenau,37
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,1
Setzingen,1
Öllingen,1
Rammingen,1
Asselfingen,3
Balzheim,3
Grundsheim,4
Oberstadion,3
Emerkingen,3
Obermarchtal,5
Unterwachingen,3
Unterstadion,7
Dietenheim,14
Hausen am Bussen,0
Ehingen,92
Munderkingen,20
Rottenacker,6
Untermarchtal,3
Lauterach,1
Illerrieden,17
Schnürpflingen,2
Griesingen,2
Hüttisheim,2
Emeringen,1
Rechtenstein,1
Ulm,312
