,01_26_2022
Westerheim,3
Schelklingen,7
Laichingen,29
Heroldstatt,6
Allmendingen,15
Blaubeuren,30
Merklingen,7
Berghülen,9
Nellingen,3
Altheim,4
Öpfingen,4
Oberdischingen,5
Erbach,69
Blaustein,60
Dornstadt,15
Amstetten,10
Lonsee,13
Westerstetten,9
Beimerstetten,2
Weidenstetten,1
Staig,8
Altheim (Alb),1
Holzkirch,1
Breitingen,0
Illerkirchberg,13
Bernstadt,9
Langenau,57
Neenstetten,4
Börslingen,3
Ballendorf,1
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,2
Asselfingen,3
Balzheim,9
Grundsheim,1
Oberstadion,0
Emerkingen,6
Obermarchtal,1
Unterwachingen,1
Unterstadion,1
Dietenheim,25
Hausen am Bussen,0
Ehingen,90
Munderkingen,18
Rottenacker,4
Untermarchtal,1
Lauterach,1
Illerrieden,6
Schnürpflingen,2
Griesingen,2
Hüttisheim,0
Emeringen,0
Rechtenstein,0
Ulm,393
