,11_19_2021
Westerheim,5
Schelklingen,4
Laichingen,10
Heroldstatt,3
Allmendingen,12
Blaubeuren,16
Merklingen,1
Berghülen,4
Nellingen,2
Altheim,1
Öpfingen,16
Oberdischingen,2
Erbach,15
Blaustein,11
Dornstadt,15
Amstetten,11
Lonsee,5
Westerstetten,0
Beimerstetten,3
Weidenstetten,2
Staig,5
Altheim (Alb),1
Holzkirch,0
Breitingen,0
Illerkirchberg,6
Bernstadt,2
Langenau,15
Neenstetten,1
Börslingen,0
Ballendorf,1
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,1
Asselfingen,0
Balzheim,8
Grundsheim,0
Oberstadion,0
Emerkingen,1
Obermarchtal,5
Unterwachingen,0
Unterstadion,2
Dietenheim,6
Hausen am Bussen,0
Ehingen (Donau),30
Munderkingen,9
Rottenacker,4
Untermarchtal,0
Lauterach,0
Illerrieden,4
Schnürpflingen,2
Griesingen,6
Hüttisheim,5
Emeringen,0
Rechtenstein,1
Ulm,138
