,01_29_2022
Westerheim,2
Schelklingen,4
Laichingen,17
Heroldstatt,0
Allmendingen,2
Blaubeuren,20
Merklingen,6
Berghülen,1
Nellingen,1
Altheim,0
Öpfingen,1
Oberdischingen,0
Erbach,34
Blaustein,21
Dornstadt,11
Amstetten,5
Lonsee,9
Westerstetten,2
Beimerstetten,0
Weidenstetten,0
Staig,7
Altheim (Alb),5
Holzkirch,0
Breitingen,0
Illerkirchberg,8
Bernstadt,2
Langenau,29
Neenstetten,0
Börslingen,1
Ballendorf,1
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,2
Asselfingen,3
Balzheim,6
Grundsheim,1
Oberstadion,1
Emerkingen,1
Obermarchtal,1
Unterwachingen,0
Unterstadion,0
Dietenheim,23
Hausen am Bussen,0
Ehingen,37
Munderkingen,2
Rottenacker,1
Untermarchtal,3
Lauterach,0
Illerrieden,17
Schnürpflingen,4
Griesingen,0
Hüttisheim,1
Emeringen,0
Rechtenstein,1
Ulm,206
