,11_24_2021
Westerheim,4
Schelklingen,3
Laichingen,15
Heroldstatt,2
Allmendingen,11
Blaubeuren,14
Merklingen,0
Berghülen,1
Nellingen,1
Altheim,2
Öpfingen,10
Oberdischingen,3
Erbach,16
Blaustein,23
Dornstadt,3
Amstetten,5
Lonsee,2
Westerstetten,0
Beimerstetten,2
Weidenstetten,0
Staig,1
Altheim (Alb),1
Holzkirch,0
Breitingen,0
Illerkirchberg,7
Bernstadt,4
Langenau,13
Neenstetten,1
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,3
Asselfingen,0
Balzheim,4
Grundsheim,0
Oberstadion,2
Emerkingen,2
Obermarchtal,2
Unterwachingen,0
Unterstadion,0
Dietenheim,2
Hausen am Bussen,0
Ehingen (Donau),44
Munderkingen,3
Rottenacker,1
Untermarchtal,1
Lauterach,0
Illerrieden,9
Schnürpflingen,2
Griesingen,2
Hüttisheim,3
Emeringen,0
Rechtenstein,0
Ulm,133
