,02_11_2022
Westerheim,4
Schelklingen,36
Laichingen,38
Heroldstatt,9
Allmendingen,7
Blaubeuren,39
Merklingen,4
Berghülen,5
Nellingen,10
Altheim,0
Öpfingen,2
Oberdischingen,9
Erbach,52
Blaustein,40
Dornstadt,31
Amstetten,17
Lonsee,30
Westerstetten,6
Beimerstetten,12
Weidenstetten,5
Staig,9
Altheim (Alb),11
Holzkirch,1
Breitingen,1
Illerkirchberg,21
Bernstadt,14
Langenau,69
Neenstetten,3
Börslingen,0
Ballendorf,0
Nerenstetten,1
Setzingen,1
Öllingen,4
Rammingen,0
Asselfingen,3
Balzheim,5
Grundsheim,1
Oberstadion,5
Emerkingen,3
Obermarchtal,7
Unterwachingen,0
Unterstadion,5
Dietenheim,30
Hausen am Bussen,2
Ehingen,77
Munderkingen,9
Rottenacker,9
Untermarchtal,4
Lauterach,3
Illerrieden,12
Schnürpflingen,6
Griesingen,2
Hüttisheim,4
Emeringen,0
Rechtenstein,0
Ulm,419
