,12_07_2021
Westerheim,6
Schelklingen,10
Laichingen,25
Heroldstatt,4
Allmendingen,4
Blaubeuren,6
Merklingen,2
Berghülen,2
Nellingen,2
Altheim,2
Öpfingen,2
Oberdischingen,1
Erbach,11
Blaustein,20
Dornstadt,12
Amstetten,10
Lonsee,2
Westerstetten,2
Beimerstetten,2
Weidenstetten,0
Staig,4
Altheim (Alb),1
Holzkirch,0
Breitingen,0
Illerkirchberg,2
Bernstadt,0
Langenau,5
Neenstetten,0
Börslingen,0
Ballendorf,0
Nerenstetten,0
Setzingen,0
Öllingen,0
Rammingen,1
Asselfingen,0
Balzheim,10
Grundsheim,0
Oberstadion,0
Emerkingen,1
Obermarchtal,6
Unterwachingen,1
Unterstadion,1
Dietenheim,8
Hausen am Bussen,0
Ehingen,40
Munderkingen,1
Rottenacker,2
Untermarchtal,0
Lauterach,0
Illerrieden,1
Schnürpflingen,0
Griesingen,0
Hüttisheim,0
Emeringen,0
Rechtenstein,2
Ulm,106
