,02_15_2022
Westerheim,7
Schelklingen,31
Laichingen,36
Heroldstatt,7
Allmendingen,15
Blaubeuren,40
Merklingen,5
Berghülen,13
Nellingen,7
Altheim,3
Öpfingen,4
Oberdischingen,5
Erbach,35
Blaustein,33
Dornstadt,18
Amstetten,10
Lonsee,12
Westerstetten,1
Beimerstetten,2
Weidenstetten,3
Staig,8
Altheim (Alb),4
Holzkirch,0
Breitingen,2
Illerkirchberg,20
Bernstadt,9
Langenau,49
Neenstetten,0
Börslingen,1
Ballendorf,1
Nerenstetten,0
Setzingen,2
Öllingen,1
Rammingen,2
Asselfingen,5
Balzheim,0
Grundsheim,1
Oberstadion,6
Emerkingen,1
Obermarchtal,8
Unterwachingen,1
Unterstadion,2
Dietenheim,27
Hausen am Bussen,0
Ehingen,109
Munderkingen,9
Rottenacker,9
Untermarchtal,4
Lauterach,1
Illerrieden,10
Schnürpflingen,7
Griesingen,4
Hüttisheim,12
Emeringen,2
Rechtenstein,1
Ulm,487
