,01_24_2022
Westerheim,3
Schelklingen,1
Laichingen,38
Heroldstatt,10
Allmendingen,1
Blaubeuren,5
Merklingen,5
Berghülen,4
Nellingen,5
Altheim,1
Öpfingen,0
Oberdischingen,0
Erbach,30
Blaustein,46
Dornstadt,9
Amstetten,4
Lonsee,6
Westerstetten,11
Beimerstetten,7
Weidenstetten,0
Staig,6
Altheim (Alb),3
Holzkirch,1
Breitingen,1
Illerkirchberg,14
Bernstadt,6
Langenau,25
Neenstetten,0
Börslingen,1
Ballendorf,0
Nerenstetten,1
Setzingen,0
Öllingen,0
Rammingen,1
Asselfingen,1
Balzheim,8
Grundsheim,0
Oberstadion,0
Emerkingen,1
Obermarchtal,0
Unterwachingen,0
Unterstadion,1
Dietenheim,11
Hausen am Bussen,1
Ehingen,16
Munderkingen,9
Rottenacker,0
Untermarchtal,0
Lauterach,0
Illerrieden,1
Schnürpflingen,7
Griesingen,1
Hüttisheim,1
Emeringen,0
Rechtenstein,0
Ulm,276
