Gem,last14,Gesamtfallzahlen
Attendorn,1,1018
Drolshagen,1,515
Finnentrop,1,719
Kirchhundem,1,451
Lennestadt,4,1191
Olpe,17,1172
Wenden,2,772
Gesamt,27,5838
