Gem,last14,Gesamtfallzahlen
Attendorn,4,1022
Drolshagen,1,516
Finnentrop,1,722
Kirchhundem,0,452
Lennestadt,0,1191
Olpe,1,1173
Wenden,1,773
Gesamt,8,5849
