Gem,last14,Gesamtfallzahlen
Attendorn,23,1165
Drolshagen,4,560
Finnentrop,9,803
Kirchhundem,21,530
Lennestadt,21,1315
Olpe,54,1412
Wenden,15,869
Gesamt,147,6654
